@relation data2

@attribute A {w,au,bx,cn,co,u,an,ca,ag,ak,q,o,cs,t,n,bs,aa,cj,be,br,ct,aw,ai,ah,z,l,cb,cu,bp,ck,a,cv,j,cd,cm,ba,ch,ap,aj,bq,cg,bk,am,h,bu,bt,g,cl,as,bf,bi,av,bj,e,bb,bl,at,ad,af,cr,cf,bg,ar,ab,k,ci,aq,ax,bh,v,az,ao,i,bd,c,bm,m,b,r,ae,bo,by,bw,f,d,cq,ce,bc,bv,bn,ac,y,al,p,s,bz,cc,ay}
@attribute B {ch,bz,a,i,bt,j,bl,bj,co,ac,ad,ai,af,aq,bu,l,cr,au,bk,y,ak,x,av,q,cu,bh,ci,bg,at,r,be,an,c,bf,u,bd,az,bw,bs,f,cm,p,k,cs,cl,g,bv,b,cp,bq,ao,by,s,ce,bm,cj,d,bo,ap,ba,bi,n,bx,cb,ay,cn,as,bc,al,h,m,cd,cq,ca,aa,cv,cf,z,aw,bp,t,cc,am,ar,aj,ab,o,cg,ah,bb,v,bn,e,ct,ck,w,ae,ax,ag,br}
@attribute C {s,ah,ai,y,af,be,cg,j,ce,bs,cq,bp,o,t,k,ct,as,ay,c,cn,bk,ag,bf,ch,cr,d,bz,cl,z,b,ac,i,cm,az,bo,at,ci,l,ap,x,bu,al,cu,cc,bl,ck,ao,ad,cf,by,co,n,bi,am,p,bw,m,ba,bb,bv,ca,aj,bd,cs,cd,bm,f,au,bj,bh,ak,an,u,bc,ae,cb,e,ar,bq,h,ab,aq,br,v,bx,bg,a,q,aw,cp,av,bn,g,r,bt,ax,cv}
@attribute D {an,bv}
@attribute E {cd,w,aa,v,bp,aj,co,cr,af,z,ch,ay,bo,ai,cs,cl,m,ba,bk,cj,d,r,ap,bs,br,l,ct,i,cc,cq,ae,au,bx,cm,o,bj,bv,f,c,be,cu,ca,b,av,x,bz,ac,cf,at,cn,ao,bm,bi,az,ci,g,bn,ag,bd,by,bl,am,ak,ax,cg,t,y,a,ad,k,h,aq,bq,ce,p,al,ck,bg,j,bu,an,u,bc,bt,bh,cv,s,bf,q,cp,bw,n,ab,ar,e,aw,cb}
@attribute F {bc,ar,ay,q,a,bx,as,bw,f,cm,p,cu,o,ct,r,k,bk,at,au,bg,bp,ao,e,av,bn,az,cp,be,bi,bb,ae,bo,cs,br,j,bs,g,m,h,cj,ce,cf,cq,v,am,bv,s,cl,cg,ad,ai,y,bq,x,n,ch,by,bh,l,d,b,aw,ck,bz,u,ax,bt,cc,i,aj,bj,ca,cn,ba,ah,bf,bl,ac,t,aa,aq,c,al,cb,bd,z,cv,ab,ci,an,bu,cd,co,cr,af,w,bm,ap,ak,ag}
@attribute G {bn,y,g,m,ax,k,az,ca,cb,h,bj,bv,cl,cs,bf,e,cq,i,z,ch,ct,as,w,ae,at,aw,f,ah,ac,bt,bz,cf,cc,cv,bq,ba,ab,r,cp,a,v,cu,bc,bg,bh,bd,ck,t,ao,bb,ce,am,ak,cr,l,c,o,bo,an,bp,s,ap,x,ay,cn,bu,ci,cg,cm,j,al,bs,n,bm,co,q,by,p,cd,bi,aa,au,bw,bl,aq,ag,bk,be,cj,ad,b,ar,ai,af,u,br,aj,av,d}
@attribute H {ax,bv,bq,be,d,ar,an,bf,bh,ah,t,cu,ck,cd,x,i,f,cl,bk,aj,y,bu,aw,ce,as,p,w,cn,ab,a,ct,cc,bg,cf,cv,s,ac,bb,bj,bx,bc,bs,z,o,q,cj,b,bd,r,au,cp,bt,aa,ad,bm,bw,k,n,al,at,ap,cg,ae,ao,j,ak,by,h,cr,ci,bp,bo,am,ba,bl,e,cs,cq,ca,bi,m,ay,br,c,ch,v,aq,ag,g,cm,l,u,av,cb,bz,af,ai,bn,az,co}
@attribute I {j,af,bm,bz,x,bw,ab,cn,bd,bi,bp,cd,m,q,w,bb,cc,cb,ao,ag,y,bs,bx,bf,aj,bu,bg,g,cm,ad,bc,cu,co,r,bn,bv,c,f,ae,ah,ac,bj,ay,aw,d,cf,i,z,ck,aq,u,cg,an,cj,ba,az,bo,cr,ap,bl,s,t,l,al,br,bt,be,ch,ca,bk,av,am,ce,ak,n,ct,b,cq,p,aa,bh,k,as,cp,bq,v,o,cl,by,ax,at,a,cs,au,h,ci,ai,ar,cv}
@attribute J {h,ax,ct,cm,v,bo,bp,aw,bf,o,x,bv,aa,br,ai,cl,j,bc,i,af,m,an,u,ce,r,bl,ay,at,az,ac,cb,au,e,bn,s,bu,al,ap,t,l,cc,ca,bz,b,co,f,bj,av,ba,cr,bq,bb,be,aj,ch,ar,bh,cp,cf,c,cj,q,bt,ah,cv,cs,y,ab,bw,ad,bx,a,cg,z,as,cu,bg,ae,k,w,ao,d,ck,ak,bk,ci,bm,g,p,ag,cn,cq,cd,am,n,bd,by,aq,bi,bs}
@attribute K {bh,as,v,cj,p,bu,x,bq,g,ay,t,ci,bm,ar,ai,bg,a,cc,y,aa,by,bk,l,cq,n,h,i,ag,ae,r,aw,cp,am,cb,ah,an,w,aq,bi,bn,br,bl,cm,o,b,co,q,cv,cr,be,bz,cf,bx,j,ca,ax,bf,al,au,bw,bt,ad,bv,f,m,bo,c,bc,cg,cu,az,z,cl,ao,aj,ac,bj,bs,d,ba,k,s,cd,cn,e,cs,ct,ck,bb,bp,at,ak,af,ce,ab,ap,ch,bd,u,av}
@attribute L {b,aq,af,al,bm,cc,y,ag,s,ba,co,ca,cv,u,l,aj,ct,v,cm,cr,bk,bi,am,bo,ao,i,bz,as,ah,o,bl,cl,d,a,ch,cq,c,bf,br,cs,ay,n,an,cj,ck,ai,cn,cb,ad,r,aw,m,au,bg,bt,bx,k,be,cp,bp,bw,bc,cf,x,ar,cg,by,ak,cd,ae,bn,q,h,bu,bd,at,bj,av,az,ab,aa,ap,bb,p,f,e,ci,bh,w,cu,ce,j,ax,g,ac,t,bq,bs,bv,z}
@attribute M {v,aq,bh,t,bt,cf,p,ao,ba,z,cu,b,bb,cs,ar,aw,ce,g,cp,cc,br,ag,m,e,bd,k,ck,n,cm,ci,cr,by,cg,l,d,co,bw,cn,bk,a,az,am,o,ca,ak,af,cj,cq,c,an,ap,h,ct,y,f,ay,bv,aj,bx,av,ch,ah,bp,bz,bn,bc,ai,bi,i,cv,w,ad,bu,bj,j,bm,au,at,s,r,bs,q,aa,bq,bf,cb,al,cd,bg,x,be,ax,u,ab,ac,ae,bl,cl,bo,as}
@attribute N {cb,bo,x,bv,v,u,ae,cj,ap,bq,g,cd,bd,aa,k,cc,be,bf,br,cm,at,co,ag,cu,cr,by,bc,bi,af,cl,bm,bn,w,ak,ci,d,bp,aq,bb,i,au,cs,ac,s,bj,aw,bh,j,f,ca,bg,t,aj,bz,r,q,n,bk,ab,cn,ba,b,cv,az,cp,ax,cg,bl,o,an,z,ay,l,a,h,c,bt,as,ao,ai,ch,bs,bw,am,ad,p,y,cq,e,bu,ct,m,ck,av,ah,al,bx,ce,cf,ar}
@attribute O {v,bl,cc,aa,bu,ca,ce,bq,cg,w,cb,ba,ay,i,co,cv,cq,bv,bh,z,q,m,g,as,bg,bs,f,cr,bz,bj,cu,t,o,az,bt,c,cf,ci,ae,ck,d,ao,a,bn,bc,cl,by,n,r,cn,bk,aj,ar,cm,s,af,cs,bw,cj,ai,x,j,aw,ct,bp,ax,ch,aq,cd,u,bm,br,l,av,be,bb,bf,k,cp,y,b,bi,au,am,ag,bd,ap,ab,ah,bx,e,ad,an,al,ak,bo,p,at,ac,h}
@attribute Class {c1,c2}

@data
w,ch,s,an,cd,bc,bn,ax,j,h,bh,b,v,cb,v,c1
au,bz,s,an,w,ar,bn,ax,j,ax,as,aq,aq,bo,bl,c1
bx,a,ah,bv,aa,ay,y,bv,af,ct,v,af,bh,x,cc,c2
cn,i,s,an,v,q,bn,ax,j,cm,cj,al,t,bv,aa,c1
bx,bt,ai,bv,aa,a,g,bq,bm,ct,p,af,bt,v,bu,c2
co,j,s,an,bp,bx,bn,ax,j,v,bu,bm,cf,u,ca,c1
u,bl,s,an,aj,as,bn,ax,j,bo,x,aq,p,ae,ce,c1
bx,bj,y,bv,aa,bw,m,be,bz,ct,bq,af,ao,x,bq,c2
an,co,s,an,co,f,bn,ax,j,bp,g,cc,ba,cj,cg,c1
bx,ac,af,bv,aa,cm,ax,d,x,ct,ay,af,z,ap,w,c2
bx,ad,be,bv,aa,bx,k,ar,bz,ct,t,af,cu,bq,cb,c2
bx,ai,cg,bv,aa,p,az,an,bw,ct,ci,af,b,g,ba,c2
bx,af,j,bv,aa,cu,ca,bf,af,ct,bm,af,bb,cd,ay,c2
ca,aq,s,an,cr,o,bn,ax,j,aw,ar,y,cs,bd,aa,c1
ag,bu,s,an,af,ct,bn,ax,j,bf,ai,ag,ar,aa,ay,c1
bx,l,ce,bv,aa,r,cb,bh,ab,ct,bg,af,aw,k,cb,c2
bx,cr,bs,bv,aa,k,h,ah,cn,ct,a,af,aq,cc,i,c2
bx,au,cq,bv,aa,bx,bj,t,bd,ct,v,af,ce,be,co,c2
bx,bk,bp,bv,aa,bk,bv,cu,bi,ct,cc,af,g,bf,ca,c2
bx,y,cg,bv,aa,at,cl,bq,bp,ct,y,af,cp,br,cv,c2
bx,ak,cg,bv,aa,at,cs,ck,x,ct,ay,af,cc,cm,cq,c2
ag,x,s,an,z,ay,bn,ax,j,o,aa,s,br,at,ca,c1
bx,av,o,bv,aa,au,bf,cd,cd,ct,ay,af,ag,co,bv,c2
bx,q,t,bv,aa,bg,e,x,m,ct,by,af,m,br,bh,c2
ak,cu,s,an,bp,bp,bn,ax,j,x,x,ba,aw,ag,z,c1
q,bu,s,an,af,ao,bn,ax,j,bo,bk,al,e,cu,q,c1
bx,bh,k,bv,aa,e,cq,i,q,ct,as,af,bd,cr,m,c2
bx,ac,ct,bv,aa,av,i,f,w,ct,l,af,bt,by,ce,c2
bx,ci,as,bv,aa,r,z,cl,bb,ct,cq,af,k,bc,g,c2
o,bg,s,an,ch,bn,bn,ax,j,bv,n,co,ck,bi,as,c1
bx,at,ay,bv,aa,az,ch,be,cc,ct,n,af,n,af,i,c2
bx,r,ai,bv,aa,cp,ct,bk,cb,ct,h,af,cf,cl,bl,c2
cs,be,s,an,ay,be,bn,ax,j,aa,i,ca,cm,bm,bg,c1
bx,ci,c,bv,aa,cm,as,aj,ao,ct,cc,af,ci,be,bs,c2
w,ad,s,an,bo,bi,bn,ax,j,br,ag,cv,cr,bn,f,c1
t,ci,s,an,ai,bb,bn,ax,j,ai,ae,u,by,w,cr,c1
n,an,s,an,cs,ae,bn,ax,j,cl,r,af,cg,cm,bz,c1
bs,c,s,an,cl,bo,bn,ax,j,j,aw,ag,br,ak,bj,c1
ak,ci,s,an,m,cs,bn,ax,j,cm,cp,l,l,ci,cu,c1
bx,bf,cn,bv,aa,br,w,d,ag,ct,bh,af,d,d,t,c2
aa,ch,s,an,ba,bk,bn,ax,j,cm,am,aj,co,bp,o,c1
bx,u,bk,bv,aa,j,ae,y,cb,ct,cb,af,bw,aq,az,c2
bx,bd,ag,bv,aa,bs,at,bu,y,ct,ah,af,cn,bb,bt,c2
bx,az,bf,bv,aa,g,cl,cu,bs,ct,an,af,bk,i,c,c2
bx,af,ch,bv,aa,bo,aw,aw,bx,ct,am,af,by,au,cf,c2
cj,bw,s,an,cl,ct,bn,ax,j,bc,w,al,a,cs,ci,c1
be,bs,s,an,bk,m,bn,ax,j,i,by,ct,cu,bp,bt,c1
br,f,s,an,cj,h,bn,ax,j,af,bk,v,az,k,ae,c1
ct,cr,s,an,bk,cp,bn,ax,j,m,aq,u,am,ac,ck,c1
bx,cm,cg,bv,aa,cj,f,ce,bf,ct,bi,af,o,s,cb,c2
aw,p,s,an,d,ce,bn,ax,j,an,i,cm,ca,br,d,c1
bx,k,ai,bv,aa,cf,ah,as,j,ct,bn,af,ar,bj,ao,c2
bx,cs,bf,bv,aa,cp,ac,p,aj,ct,br,af,ak,aa,cg,c2
ai,cl,s,an,r,bs,bn,ax,j,h,br,co,cr,bp,a,c1
bx,g,cr,bv,aa,cq,bt,w,bu,ct,bu,af,af,bm,ao,c2
bx,bv,d,bv,aa,v,bz,cn,bg,ct,bl,af,cj,cs,bn,c2
bx,c,ay,bv,aa,j,cf,ab,g,ct,cm,af,k,aw,bc,c2
ah,l,s,an,ap,am,bn,ax,j,u,o,cr,cq,i,cl,c1
z,b,s,an,af,bv,bn,ax,j,ce,cj,bk,c,bq,by,c1
bx,g,bz,bv,aa,s,k,w,cm,ct,a,af,an,bh,n,c2
ai,cp,s,an,bs,cl,bn,ax,j,r,n,bi,ap,j,r,c1
l,bq,s,an,ai,cg,bn,ax,j,bl,bl,am,af,f,cr,c1
z,ad,s,an,br,ad,bn,ax,j,ay,b,bo,h,ca,cn,c1
bx,ao,cn,bv,aa,as,cc,a,ad,ct,aa,af,e,bg,bk,c2
cb,bh,s,an,l,ai,bn,ax,j,j,co,ao,am,bn,bk,c1
bx,u,cl,bv,aa,y,cv,ct,bc,ct,y,af,ct,ag,aj,c2
bx,au,cq,bv,aa,bq,bq,an,cu,ct,bh,af,bt,bv,ar,c2
cu,bj,s,an,ct,x,bn,ax,j,at,b,i,y,au,cl,c1
bp,u,s,an,i,bi,bn,ax,j,az,bk,bz,an,bv,cu,c1
ct,bt,s,an,cc,as,bn,ax,j,ac,q,as,d,t,ce,c1
ck,u,s,an,cq,n,bn,ax,j,cb,cv,ah,f,aj,cm,c1
bx,by,bz,bv,aa,au,ba,cc,bx,ct,x,af,br,v,s,c2
bx,bs,z,bv,aa,cm,ab,a,g,ct,cr,af,ay,bz,ao,c2
aa,a,s,an,ae,bw,bn,ax,j,au,be,o,ao,r,cc,c1
a,an,s,an,au,bn,bn,ax,j,e,bz,bl,ct,cs,af,c1
bx,cu,b,bv,aa,h,ae,bg,co,ct,cf,af,bv,bj,cs,c2
bx,at,ac,bv,aa,bq,r,cf,r,ct,cm,af,ct,q,o,c2
bx,j,i,bv,aa,ch,cp,a,bn,ct,bx,af,br,cl,ca,c2
cv,ak,s,an,bx,by,bn,ax,j,au,j,cl,aj,n,bw,c1
bx,bk,k,bv,aa,bh,cf,cv,bu,ct,am,af,bx,bq,cn,c2
bx,s,cm,bv,aa,g,ab,p,bv,ct,ca,af,o,bk,cj,c2
j,a,s,an,cm,l,bn,ax,j,bn,bh,d,af,ab,cs,c1
co,bd,s,an,o,be,bn,ax,j,ax,ax,a,ay,bj,ai,c1
bx,bj,az,bv,aa,d,a,s,c,ct,t,af,h,be,v,c2
bx,u,bo,bv,aa,at,v,aw,f,ct,be,af,av,bz,x,c2
cd,bw,s,an,bj,ct,bn,ax,j,s,q,ch,cp,cn,j,c1
bx,y,at,bv,aa,b,ba,ac,ae,ct,cb,af,ch,bk,aw,c2
bx,l,ci,bv,aa,ct,cu,bq,ah,ct,bf,af,ch,ba,ct,c2
bs,ce,s,an,ch,ay,bn,ax,j,ay,ax,cq,ck,b,bp,c1
