@relation 20_10_5_10_10_500

@attribute A {e,b,f,g,d,h,i,a,j,c}
@attribute B {b,f,c,d,i,h,a,g,e,j}
@attribute C {i,e,b,a,g,h,c,d,j,f}
@attribute D {e,a,g,d,j,i,b,h,f,c}
@attribute E {a,c,e,g,h,j,d,f,i,b}
@attribute F {f,g,c,j,h,d,a,e,i,b}
@attribute G {g,i,a,j,c,h,f,e,b,d}
@attribute H {c,d,f,j,h,e,i,a,b,g}
@attribute I {i,d,e,f,a,h,g,b,c,j}
@attribute J {b,c,e,g,d,f,j,h,a,i}
@attribute K {a,h,d,c,e,i,g,j,f,b}
@attribute L {d,a,j,h,b,g,i,c,e,f}
@attribute M {b,i,h,j,c,e,g,f,d,a}
@attribute N {i,f,g,d,e,a,j,b,c,h}
@attribute O {c,h,i,g,b,e,j,f,d,a}
@attribute P {i,c,f,d,a,j,g,b,h,e}
@attribute Q {j,e,i,b,d,c,h,f,g,a}
@attribute R {g,c,b,d,h,a,j,i,e,f}
@attribute S {c,i,g,b,j,e,h,a,f,d}
@attribute T {d,a,e,h,c,g,f,b,i,j}
@attribute Class {c5,c1,c4,c2,c3}

@data
e,b,i,e,a,f,g,c,i,b,a,d,b,i,c,i,j,g,c,d,c5
b,b,e,a,c,g,i,c,d,c,h,a,i,f,h,c,e,c,i,a,c1
e,f,i,g,e,f,g,c,i,b,h,d,h,g,c,i,i,b,g,d,c5
f,b,b,d,c,c,g,d,e,c,d,j,h,d,i,f,i,c,i,d,c4
g,c,b,j,g,j,a,f,d,c,d,j,h,e,i,f,i,c,i,d,c4
f,d,e,i,c,g,i,j,d,e,h,a,i,f,h,i,e,c,b,a,c1
e,i,b,g,h,h,j,h,f,c,d,j,h,d,i,f,i,c,i,d,c4
d,h,b,b,j,f,i,e,a,c,d,j,h,i,i,f,i,c,i,d,c4
h,a,a,b,h,g,g,i,a,g,c,h,j,a,g,d,b,g,j,e,c2
e,g,i,h,h,f,g,c,i,b,e,d,c,e,c,i,e,d,i,d,c5
e,d,i,i,j,f,g,c,i,b,c,d,h,j,c,i,j,h,b,d,c5
g,d,e,e,e,d,c,j,h,d,i,h,e,a,i,a,e,d,g,h,c3
g,d,e,b,a,j,a,d,h,d,a,h,g,b,c,a,e,d,g,h,c3
e,e,i,i,d,f,g,c,i,b,e,d,e,g,c,i,d,g,i,d,c5
f,d,b,f,f,j,h,c,g,c,d,j,h,j,i,f,i,c,i,d,c4
d,a,g,b,h,a,g,a,a,f,g,b,j,c,g,d,b,g,j,c,c2
f,e,b,a,f,g,h,h,f,c,d,j,h,h,i,f,i,c,i,d,c4
e,a,h,b,h,f,g,b,a,b,d,g,j,f,g,d,b,g,j,h,c2
f,a,c,b,h,d,g,c,a,f,i,i,j,b,g,d,b,g,j,g,c2
d,j,e,a,c,g,i,e,d,g,h,a,i,f,h,c,e,a,e,a,c1
e,h,i,j,f,f,g,c,i,b,i,d,g,a,c,i,c,j,j,d,c5
g,d,e,i,d,e,a,i,h,d,j,h,e,d,g,a,e,d,g,h,c3
g,e,e,d,c,i,i,d,d,j,h,a,i,f,h,i,e,i,h,a,c1
i,a,a,b,h,g,g,i,a,j,j,a,j,a,g,d,b,g,j,a,c2
a,f,e,d,c,e,i,b,d,c,h,a,i,f,h,c,e,g,c,a,c1
e,d,i,g,h,f,g,c,i,b,c,d,h,b,c,i,h,e,a,d,c5
b,g,e,j,c,j,i,i,d,h,h,a,i,f,h,f,e,j,a,a,c1
g,a,a,b,h,b,g,a,a,j,h,j,j,j,g,d,b,g,j,a,c2
g,d,e,j,f,c,f,d,h,d,j,h,h,g,b,a,e,d,g,h,c3
e,h,b,a,d,i,i,f,h,c,d,j,h,f,i,f,i,c,i,d,c4
g,d,e,i,e,f,h,c,h,d,f,h,g,d,i,a,e,d,g,h,c3
e,h,i,c,g,f,g,c,i,b,d,d,f,b,c,i,j,a,c,d,c5
h,f,b,f,i,c,c,j,b,c,d,j,h,b,i,f,i,c,i,d,c4
g,d,e,g,c,d,i,f,h,d,c,h,j,f,h,a,e,d,g,h,c3
e,g,b,j,e,b,e,j,c,c,d,j,h,g,i,f,i,c,i,d,c4
f,a,g,b,h,j,g,e,a,b,a,h,j,j,g,d,b,g,j,f,c2
b,j,e,j,c,g,i,i,d,b,h,a,i,f,h,j,e,e,f,a,c1
j,a,h,b,h,i,g,f,a,a,c,c,j,b,g,d,b,g,j,f,c2
j,a,i,b,h,a,g,h,a,g,e,d,j,c,g,d,b,g,j,g,c2
g,e,b,e,i,d,i,c,c,c,d,j,h,e,i,f,i,c,i,d,c4
g,d,e,g,h,d,e,f,h,d,d,h,h,c,i,a,e,d,g,h,c3
e,e,i,i,j,f,g,c,i,b,b,d,d,d,c,i,e,i,i,d,c5
b,a,g,b,h,g,g,b,a,c,g,e,j,d,g,d,b,g,j,a,c2
e,c,i,g,g,f,g,c,i,b,b,d,i,h,c,i,e,f,b,d,c5
e,i,i,g,d,f,g,c,i,b,c,d,f,i,c,i,j,a,c,d,c5
e,g,i,f,j,f,g,c,i,b,a,d,h,i,c,i,f,f,h,d,c5
g,d,e,f,j,b,e,j,h,d,c,h,d,b,i,a,e,d,g,h,c3
g,e,b,c,j,i,j,a,b,c,d,j,h,e,i,f,i,c,i,d,c4
f,a,b,c,h,a,e,b,a,c,d,j,h,f,i,f,i,c,i,d,c4
e,j,i,a,e,f,g,c,i,b,i,d,c,d,c,i,b,a,b,d,c5
e,d,e,g,c,c,i,j,d,j,h,a,i,f,h,f,e,j,a,a,c1
b,e,b,h,f,d,f,c,j,c,d,j,h,c,i,f,i,c,i,d,c4
e,a,d,b,h,f,g,b,a,d,i,i,j,c,g,d,b,g,j,f,c2
e,f,i,c,d,f,g,c,i,b,h,d,i,b,c,i,g,a,d,d,c5
f,f,e,g,c,e,i,d,d,c,h,a,i,f,h,j,e,e,a,a,c1
a,j,b,e,e,c,f,i,j,c,d,j,h,c,i,f,i,c,i,d,c4
e,j,i,f,b,f,g,c,i,b,h,d,h,f,c,i,g,j,j,d,c5
i,a,e,f,c,e,i,e,d,j,h,a,i,f,h,c,e,b,b,a,c1
d,g,e,c,c,d,i,i,d,h,h,a,i,f,h,g,e,g,b,a,c1
i,a,c,b,h,e,g,e,a,g,a,b,j,g,g,d,b,g,j,c,c2
g,d,e,e,d,b,f,b,h,d,a,h,g,d,e,a,e,d,g,h,c3
g,d,e,j,b,j,b,e,h,d,f,h,i,d,j,a,e,d,g,h,c3
g,g,e,c,c,e,i,e,d,b,h,a,i,f,h,g,e,d,j,a,c1
g,d,e,f,d,h,f,f,h,d,b,h,j,d,f,a,e,d,g,h,c3
b,g,e,g,c,c,i,c,d,i,h,a,i,f,h,b,e,g,d,a,c1
a,b,b,f,d,g,b,b,h,c,d,j,h,f,i,f,i,c,i,d,c4
e,a,i,b,h,c,g,c,a,b,g,g,j,j,g,d,b,g,j,f,c2
e,f,e,g,c,g,i,d,d,e,h,a,i,f,h,a,e,i,c,a,c1
h,a,i,b,h,b,g,h,a,g,e,f,j,f,g,d,b,g,j,b,c2
b,f,e,h,c,e,i,j,d,c,h,a,i,f,h,h,e,g,i,a,c1
a,g,e,h,c,b,i,j,d,f,h,a,i,f,h,e,e,d,a,a,c1
b,a,g,b,h,i,g,f,a,d,g,b,j,c,g,d,b,g,j,b,c2
e,g,i,h,j,f,g,c,i,b,f,d,g,b,c,i,c,j,f,d,c5
a,a,d,b,h,j,g,e,a,i,b,c,j,g,g,d,b,g,j,i,c2
e,f,e,f,c,c,i,f,d,e,h,a,i,f,h,j,e,j,c,a,c1
g,d,e,d,h,d,g,j,h,d,c,h,d,c,d,a,e,d,g,h,c3
c,d,b,c,j,f,j,g,j,c,d,j,h,h,i,f,i,c,i,d,c4
d,a,d,b,h,b,g,e,a,a,g,b,j,f,g,d,b,g,j,d,c2
b,c,e,h,c,i,i,b,d,i,h,a,i,f,h,c,e,e,b,a,c1
h,a,a,b,h,a,g,b,a,c,b,e,j,i,g,d,b,g,j,h,c2
i,h,b,j,b,g,i,a,f,c,d,j,h,g,i,f,i,c,i,d,c4
b,a,e,i,c,g,i,e,d,j,h,a,i,f,h,i,e,a,i,a,c1
h,e,b,b,a,g,h,g,e,c,d,j,h,b,i,f,i,c,i,d,c4
g,b,b,g,d,e,d,e,h,c,d,j,h,b,i,f,i,c,i,d,c4
e,i,b,c,c,h,h,i,a,c,d,j,h,g,i,f,i,c,i,d,c4
e,h,e,a,c,a,i,f,d,d,h,a,i,f,h,e,e,c,b,a,c1
j,a,g,b,h,f,g,f,a,h,a,j,j,a,g,d,b,g,j,a,c2
c,i,e,d,c,i,i,f,d,h,h,a,i,f,h,i,e,j,b,a,c1
e,b,b,f,d,e,c,g,e,c,d,j,h,i,i,f,i,c,i,d,c4
j,g,e,b,c,h,i,f,d,g,h,a,i,f,h,e,e,a,b,a,c1
e,a,g,b,h,i,g,e,a,c,j,e,j,g,g,d,b,g,j,a,c2
h,h,e,h,c,d,i,a,d,e,h,a,i,f,h,c,e,i,g,a,c1
d,a,j,b,h,e,g,e,a,c,j,a,j,b,g,d,b,g,j,a,c2
g,a,d,b,h,h,g,a,a,j,f,g,j,d,g,d,b,g,j,f,c2
d,d,e,b,c,b,i,e,d,j,h,a,i,f,h,d,e,g,j,a,c1
h,a,b,c,j,f,c,g,g,c,d,j,h,g,i,f,i,c,i,d,c4
e,d,i,f,g,f,g,c,i,b,h,d,h,h,c,i,i,h,j,d,c5
c,d,b,c,h,f,d,h,f,c,d,j,h,a,i,f,i,c,i,d,c4
e,b,i,j,g,f,g,c,i,b,d,d,j,b,c,i,g,a,i,d,c5
e,j,i,i,b,f,g,c,i,b,c,d,g,i,c,i,i,a,i,d,c5
e,a,c,b,h,c,g,c,a,j,c,j,j,f,g,d,b,g,j,c,c2
g,d,e,j,a,e,a,e,h,d,c,h,a,e,f,a,e,d,g,h,c3
c,g,b,f,c,e,e,h,i,c,d,j,h,i,i,f,i,c,i,d,c4
a,d,e,i,c,f,i,d,d,a,h,a,i,f,h,a,e,j,e,a,c1
c,c,b,h,c,f,a,h,g,c,d,j,h,e,i,f,i,c,i,d,c4
b,a,c,b,h,c,g,b,a,i,f,h,j,g,g,d,b,g,j,b,c2
g,d,e,i,g,i,j,i,h,d,j,h,i,c,i,a,e,d,g,h,c3
f,a,g,b,h,a,g,d,a,d,a,d,j,e,g,d,b,g,j,e,c2
a,j,b,e,h,d,g,a,d,c,d,j,h,i,i,f,i,c,i,d,c4
c,a,d,b,h,g,g,j,a,j,j,e,j,a,g,d,b,g,j,c,c2
e,j,b,g,f,f,i,i,a,c,d,j,h,i,i,f,i,c,i,d,c4
f,a,a,b,h,j,g,f,a,a,e,a,j,i,g,d,b,g,j,f,c2
c,a,f,b,h,f,g,a,a,d,f,d,j,h,g,d,b,g,j,i,c2
c,a,h,b,h,f,g,a,a,d,f,h,j,b,g,d,b,g,j,c,c2
e,c,i,i,j,f,g,c,i,b,a,d,h,b,c,i,d,c,h,d,c5
b,a,c,b,h,f,g,i,a,c,b,i,j,g,g,d,b,g,j,j,c2
g,d,e,j,h,f,e,a,h,d,c,h,a,h,f,a,e,d,g,h,c3
c,c,e,g,c,d,i,d,d,f,h,a,i,f,h,e,e,e,d,a,c1
d,g,b,i,f,f,h,e,j,c,d,j,h,i,i,f,i,c,i,d,c4
e,a,c,b,h,d,g,b,a,j,j,g,j,e,g,d,b,g,j,d,c2
e,c,i,e,e,f,g,c,i,b,b,d,j,g,c,i,e,b,g,d,c5
e,b,i,j,e,f,g,c,i,b,c,d,g,h,c,i,c,j,a,d,c5
c,f,b,a,f,j,j,h,f,c,d,j,h,e,i,f,i,c,i,d,c4
e,a,i,e,d,f,g,c,i,b,e,d,h,d,c,i,c,b,a,d,c5
f,c,b,c,i,h,d,g,d,c,d,j,h,f,i,f,i,c,i,d,c4
d,h,e,e,c,f,i,g,d,d,h,a,i,f,h,c,e,e,d,a,c1
g,d,e,h,a,j,j,f,h,d,b,h,b,i,d,a,e,d,g,h,c3
g,a,j,b,h,d,g,f,a,i,b,i,j,d,g,d,b,g,j,h,c2
