@relation 20_5_5_8_5_1000

@attribute A1 {e,d,b,a,c}
@attribute A2 {b,d,e,c,a}
@attribute A3 {b,c,a,d,e}
@attribute A4 {c,b,e,a,d}
@attribute A5 {c,e,a,d,b}
@attribute A6 {d,b,e,c,a}
@attribute A7 {e,d,a,b,c}
@attribute A8 {c,a,b,d,e}
@attribute A9 {c,b,d,e,a}
@attribute A10 {e,d,b,a,c}
@attribute A11 {d,a,b,c,e}
@attribute A12 {c,d,a,e,b}
@attribute A13 {e,b,c,d,a}
@attribute A14 {e,a,d,b,c}
@attribute A15 {d,e,a,c,b}
@attribute A16 {a,c,e,d,b}
@attribute A17 {b,c,d,e,a}
@attribute A18 {d,b,a,e,c}
@attribute A19 {e,b,d,a,c}
@attribute A20 {c,e,b,d,a}
@attribute Class {c2,c1,c4,c3,c5}

@data
e,b,b,c,c,d,e,c,c,e,d,c,e,e,d,a,b,d,e,c,c2
d,d,c,c,e,d,d,a,b,e,a,d,b,a,e,c,b,d,b,c,c1
d,b,c,b,e,d,e,b,b,d,b,a,c,a,a,c,c,b,b,c,c1
e,d,a,e,a,d,e,c,d,b,a,e,d,a,c,e,c,a,d,e,c4
d,d,b,c,c,b,e,c,c,e,b,c,a,e,d,a,d,d,e,c,c2
e,d,a,e,a,e,a,a,d,b,d,e,c,a,c,e,c,e,b,e,c4
e,d,d,e,a,e,a,b,d,b,a,e,b,d,c,e,b,d,a,e,c4
b,e,b,c,d,d,b,d,b,a,b,e,d,e,b,a,b,c,b,b,c3
a,d,c,e,d,e,b,e,d,e,b,b,d,e,c,d,b,a,a,c,c5
e,d,b,e,a,d,a,c,d,b,c,e,c,e,c,c,c,b,d,e,c4
d,e,c,a,e,d,d,b,b,e,b,a,a,a,a,c,b,d,b,c,c1
d,c,c,a,e,d,a,e,b,b,d,e,a,a,d,c,e,a,b,c,c1
b,c,c,b,d,d,b,a,b,a,b,e,d,d,b,b,b,c,e,b,c3
a,d,d,c,c,c,d,b,c,e,c,c,e,e,d,a,e,a,e,c,c2
b,e,b,c,c,d,b,d,b,b,d,e,a,b,b,d,b,c,d,b,c3
d,a,c,e,e,d,a,c,b,c,b,c,a,a,a,c,c,c,b,c,c1
e,c,e,c,c,c,a,c,c,e,b,c,b,e,d,a,e,d,e,c,c2
d,c,c,c,e,d,b,e,b,d,c,b,b,a,e,c,e,b,b,c,c1
d,d,c,a,e,d,e,d,b,b,c,b,b,a,c,c,c,a,b,c,c1
e,d,b,e,a,c,c,d,d,b,a,e,e,a,c,c,d,e,e,e,c4
d,a,c,d,e,d,b,a,b,a,d,c,a,a,d,c,c,a,b,c,c1
