@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
ar,i,al,aw,r,av,ax,d,k,ac,b,r,n,o,k,am,ap,j,aj,t,ae,av,ak,z,au,a,l,as,as,v,c2
v,al,j,c,ah,v,an,g,aj,b,s,z,as,y,s,ax,z,ax,b,l,av,g,as,m,m,aw,y,e,aj,w,c4
d,ak,as,an,g,ap,an,p,k,k,ad,z,as,ap,s,ax,h,ae,b,j,j,v,r,ag,m,aw,y,e,n,y,c4
ao,m,ak,aa,al,u,t,f,q,s,o,g,s,ac,ab,r,af,w,aa,s,q,aa,as,d,p,c,ao,af,aj,al,c3
ae,m,al,aw,r,av,ax,av,r,ag,ax,u,aj,al,o,x,k,c,d,t,ae,av,ak,z,ax,a,aq,am,u,f,c2
an,m,al,aw,r,u,ax,aq,am,av,ac,ah,as,x,av,aw,ax,u,aw,t,ae,av,ak,z,ae,a,r,v,h,f,c2
ao,al,j,f,p,v,j,aw,q,v,r,g,b,ax,i,ae,af,am,b,as,q,ah,af,d,p,c,ao,af,s,ao,c3
r,ax,al,aw,r,ap,ax,q,n,ai,g,ar,ao,am,r,k,k,a,at,t,ae,av,ak,z,av,a,a,ap,h,z,c2
as,t,al,aw,r,n,ax,ao,au,c,ah,n,ar,u,v,v,aj,ar,x,t,ae,av,ak,z,af,a,k,x,d,w,c2
p,ak,al,aw,r,w,ax,am,v,ac,aw,ah,t,v,g,v,ap,z,ab,t,ae,av,ak,z,am,a,ae,g,ap,a,c2
ag,ab,b,c,ag,r,s,ak,v,ap,r,aq,j,an,o,a,aj,ad,ax,s,aq,ac,as,ar,ak,x,j,x,u,aa,c1
ao,ao,al,q,ad,ax,p,ah,q,ak,ao,g,ad,n,ab,av,af,ad,au,ak,q,aw,k,d,p,c,ao,af,ab,aq,c3
ax,aa,r,m,af,ac,an,u,av,k,ah,z,as,aj,s,ax,h,p,b,aj,r,aq,k,n,m,aw,y,e,v,aa,c4
w,aa,al,aw,r,ab,ax,ab,d,ak,p,b,ax,ab,aj,ax,a,j,ag,t,ae,av,ak,z,ak,a,av,o,ao,al,c2
ao,l,g,y,j,ar,at,am,q,y,e,g,z,l,av,ak,af,ak,aw,ap,q,t,h,d,p,c,ao,af,an,au,c3
ao,c,o,o,h,aa,c,x,q,h,ak,g,ab,al,at,s,af,an,ak,r,q,x,ab,d,p,c,ao,af,ar,p,c3
ao,k,ag,c,ae,o,t,av,q,an,a,g,h,an,ah,q,af,v,ax,a,q,aj,ab,d,p,c,ao,af,c,ao,c3
r,as,ah,ax,s,ag,an,ac,b,a,av,z,as,y,s,ax,as,c,b,j,d,ag,n,c,m,aw,y,e,r,n,c4
ao,ao,p,g,g,ah,v,c,q,i,ah,g,z,g,s,b,af,h,aq,aw,q,al,m,d,p,c,ao,af,d,k,c3
n,ah,al,aw,r,a,ax,o,ai,i,p,am,x,v,a,aq,f,u,ae,t,ae,av,ak,z,g,a,g,e,n,ae,c2
ag,ab,o,as,ag,n,ah,e,ak,af,g,aq,l,ap,o,a,aj,i,au,t,aq,e,as,ar,ae,al,av,a,n,aa,c1
ag,ab,an,ak,ag,al,at,i,b,r,aq,aq,aw,t,o,a,aj,s,n,ag,aq,s,i,ar,an,n,ax,ar,d,aa,c1
u,ap,m,ao,j,h,an,ai,f,ab,ad,z,as,ar,s,ax,aq,g,b,o,al,ax,q,aj,m,aw,y,e,y,l,c4
ao,q,ar,af,l,m,aj,o,q,j,l,g,ar,ar,c,h,af,o,l,ae,q,ak,j,d,p,c,ao,af,x,s,c3
ao,b,ak,l,f,ab,at,f,q,am,r,g,g,ae,j,ax,af,au,v,z,q,w,ao,d,p,c,ao,af,h,h,c3
ao,ac,h,ag,i,ah,ar,ao,q,j,b,g,an,r,e,b,af,ac,f,a,q,s,r,d,p,c,ao,af,au,aj,c3
ag,ab,x,l,ag,w,ax,ar,z,i,aq,aq,ac,ap,o,a,aj,ao,aa,q,aq,av,am,ar,g,v,w,c,ae,aa,c1
ao,l,ad,at,b,s,f,af,q,aq,ai,g,y,l,u,c,af,s,o,q,q,aw,z,d,p,c,ao,af,h,b,c3
ag,ab,ab,aj,ag,j,m,r,an,q,ap,aq,u,as,o,a,aj,ai,ak,aq,aq,am,ae,ar,c,ak,r,z,y,aa,c1
ah,v,ah,w,k,ac,an,ah,l,r,ah,z,as,q,s,ax,ag,ao,b,y,ax,l,ax,l,m,aw,y,e,m,y,c4
ao,x,ao,ai,am,p,r,w,q,as,a,g,aw,a,av,v,af,k,ah,j,q,s,as,d,p,c,ao,af,au,b,c3
ao,j,ab,ai,u,ar,an,aw,q,ax,au,g,ag,aw,al,q,af,ah,as,ae,q,t,aw,d,p,c,ao,af,y,av,c3
i,t,al,aw,r,al,ax,au,an,w,a,an,h,a,h,aq,ab,z,e,t,ae,av,ak,z,aw,a,b,ag,h,l,c2
ao,af,q,aj,ak,e,p,ad,q,d,ad,g,n,l,ab,ao,af,am,ab,f,q,ar,a,d,p,c,ao,af,v,at,c3
z,ak,f,u,j,y,an,ag,u,ak,p,z,as,t,s,ax,ax,aj,b,aw,as,ah,p,o,m,aw,y,e,aw,an,c4
ag,ab,al,ao,ag,h,aa,y,i,z,s,aq,ag,z,o,a,aj,aj,an,w,aq,ai,f,ar,al,aa,i,a,a,aa,c1
ao,ai,ap,l,ao,y,j,x,q,av,ax,g,w,ag,f,at,af,an,ag,ax,q,h,z,d,p,c,ao,af,am,n,c3
s,i,e,an,aa,ag,an,ah,ao,m,k,z,as,ae,s,ax,w,k,b,e,aq,aj,an,s,m,aw,y,e,h,p,c4
s,ac,an,av,ah,s,an,as,h,o,ak,z,as,ad,s,ax,v,b,b,s,ah,l,at,ai,m,aw,y,e,al,o,c4
ao,ak,ad,ar,ar,ac,w,al,q,z,b,g,ao,ao,at,c,af,c,o,x,q,h,y,d,p,c,ao,af,af,aw,c3
u,m,al,aw,r,af,ax,g,av,at,d,p,l,d,ac,ap,z,t,ac,t,ae,av,ak,z,y,a,ag,al,z,ak,c2
ag,ab,p,t,ag,ac,l,at,o,ae,k,aq,p,p,o,a,aj,ao,aq,ap,aq,i,o,ar,at,ab,ac,n,aq,aa,c1
ao,d,aw,m,ac,au,m,k,q,aq,s,g,n,g,ar,c,af,am,aw,j,q,ao,ah,d,p,c,ao,af,b,ab,c3
e,ax,al,aw,r,y,ax,av,aq,o,ac,w,ak,ai,as,b,j,am,o,t,ae,av,ak,z,z,a,ak,n,z,aj,c2
ab,ae,al,aw,r,ar,ax,au,g,u,r,ah,aa,aq,ae,z,j,af,z,t,ae,av,ak,z,b,a,q,l,q,ap,c2
ao,t,p,n,v,ak,l,al,q,ai,ax,g,ah,p,h,w,af,ai,ad,c,q,aq,w,d,p,c,ao,af,o,aq,c3
aq,o,al,aw,r,al,ax,ab,ab,ak,ab,r,e,r,c,ae,u,av,b,t,ae,av,ak,z,aj,a,h,b,a,ad,c2
al,ar,al,aw,r,h,ax,k,ab,a,n,an,j,q,ax,av,f,r,h,t,ae,av,ak,z,ap,a,z,c,t,ar,c2
ao,ad,ac,am,p,f,a,r,q,o,p,g,t,ak,au,s,af,ao,u,ad,q,ad,e,d,p,c,ao,af,s,o,c3
f,u,i,d,c,au,an,af,as,av,ab,z,as,d,s,ax,ak,ao,b,c,d,ae,ac,l,m,aw,y,e,v,b,c4
ag,ab,ac,at,ag,h,e,l,l,y,n,aq,ak,t,o,a,aj,q,h,aq,aq,g,q,ar,aq,g,ae,ax,g,aa,c1
