@relation 30_10_5_10_5_1000

@attribute A1 {d,b,a,e,c,j,g,f,i,h}
@attribute A2 {i,f,d,e,a,c,b,g,j,h}
@attribute A3 {h,b,g,a,i,f,j,d,e,c}
@attribute A4 {h,f,d,i,b,c,a,e,j,g}
@attribute A5 {g,b,j,i,f,e,h,d,a,c}
@attribute A6 {f,g,c,j,i,a,d,e,h,b}
@attribute A7 {c,e,h,b,a,j,i,g,d,f}
@attribute A8 {a,c,e,g,d,h,i,j,b,f}
@attribute A9 {f,g,d,h,i,a,j,c,b,e}
@attribute A10 {f,c,b,e,j,d,a,h,i,g}
@attribute A11 {c,a,d,j,f,h,e,i,b,g}
@attribute A12 {c,g,j,i,h,d,f,e,b,a}
@attribute A13 {b,i,g,d,a,c,h,e,j,f}
@attribute A14 {d,g,f,j,b,e,c,a,i,h}
@attribute A15 {i,h,b,a,d,e,g,j,c,f}
@attribute A16 {g,a,c,b,e,i,f,d,h,j}
@attribute A17 {e,h,f,g,b,a,j,i,d,c}
@attribute A18 {g,c,e,h,a,j,f,b,d,i}
@attribute A19 {a,g,e,h,b,j,d,c,f,i}
@attribute A20 {b,d,f,j,e,h,i,c,a,g}
@attribute A21 {i,b,a,j,c,e,f,d,g,h}
@attribute A22 {a,f,j,c,e,i,b,g,h,d}
@attribute A23 {e,b,h,a,i,f,c,j,g,d}
@attribute A24 {j,a,h,f,i,e,b,g,c,d}
@attribute A25 {c,g,b,f,e,i,a,d,h,j}
@attribute A26 {f,b}
@attribute A27 {a,i,h,e,d,c,b,f,j,g}
@attribute A28 {b,h,e,g,d,i,f,c,j,a}
@attribute A29 {h,b,f,a,e,g,j,c,d,i}
@attribute A30 {c,d,a,h,g,f,b,e,j,i}
@attribute Class {c5,c1,c4,c2,c3}

@data
d,i,h,h,g,f,c,a,f,f,c,c,b,d,i,g,e,g,a,b,i,a,e,j,c,f,a,b,h,c,c5
b,f,b,f,b,g,e,c,g,c,a,g,i,g,h,a,h,c,g,b,b,f,e,a,g,f,i,h,b,d,c1
d,i,g,d,j,c,c,e,f,b,a,c,g,d,b,c,e,e,a,d,a,f,e,h,c,f,h,e,b,a,c5
a,d,h,i,i,j,h,g,d,e,d,g,d,f,a,b,f,h,e,f,j,f,b,h,b,b,e,g,f,h,c4
e,e,a,b,b,g,b,d,h,b,d,j,a,d,d,e,g,c,h,j,c,j,b,f,f,b,h,e,a,g,c2
a,a,b,i,f,i,h,h,i,j,d,i,d,j,i,b,f,h,a,f,e,c,h,h,b,b,d,d,f,h,c4
d,i,i,c,g,j,c,d,f,c,j,c,c,d,a,i,e,a,a,f,f,e,e,i,c,f,d,i,f,c,c5
c,a,f,i,e,f,c,e,h,e,f,h,a,g,e,e,b,h,e,b,a,i,h,j,e,f,i,f,h,g,c3
c,a,f,i,j,a,c,c,h,d,h,d,h,b,g,a,b,h,b,b,c,a,h,j,c,f,i,c,b,g,c3
d,i,i,a,h,i,c,i,f,f,e,c,c,d,i,i,e,j,a,e,d,c,e,i,c,f,a,i,f,d,c5
c,a,f,e,b,i,c,h,h,a,a,f,e,e,i,g,b,j,j,b,f,e,h,j,i,f,i,b,e,f,c3
j,f,b,f,j,i,h,d,a,c,a,i,i,j,h,a,a,j,a,b,f,f,e,e,c,f,c,b,b,h,c1
j,f,b,f,d,g,h,e,d,c,a,e,a,j,h,a,j,f,j,b,e,f,e,h,a,f,c,i,b,b,c1
d,i,a,h,d,i,c,d,f,h,h,c,d,d,j,g,e,f,a,h,f,b,e,h,c,f,e,h,g,b,c5
