@relation 50_10_5_10_5_1000

@attribute A1 {c,a,e,d,i,j,h,b,f,g}
@attribute A2 {h,c,d,g,j,i,e,a,f,b}
@attribute A3 {c,h,e,a,b,g,d,f,j,i}
@attribute A4 {e,c,d,g,f,b,h,a,j,i}
@attribute A5 {d,j,h,i,f,g,b,e,c,a}
@attribute A6 {d,h,b,g,c,j,f,e,a,i}
@attribute A7 {i,e,d,j,g,f,h,c,a,b}
@attribute A8 {g,e,c,h,d,j,i,f,a,b}
@attribute A9 {e,h,a,g,i,b,j,d,f,c}
@attribute A10 {i,j,b,f,d,a,c,h,g,e}
@attribute A11 {c,b,g,h,j,d,i,a,e,f}
@attribute A12 {a,g,c,f,j,e,h,d,b,i}
@attribute A13 {f,a,d,b,g,j,c,e,i,h}
@attribute A14 {d,f,j,b,c,g,i,a,h,e}
@attribute A15 {d,b,e,h,g,a,i,j,c,f}
@attribute A16 {h,d,i,j,a,g,c,f,b,e}
@attribute A17 {f,b,h,c,a,e,g,j,d,i}
@attribute A18 {h,f,c,i,e,g,j,a,b,d}
@attribute A19 {c,e,b,i,j,d,a,g,h,f}
@attribute A20 {j,h,b,d,c,f,g,e,a,i}
@attribute A21 {g,f,a,e,c,h,d,b,i,j}
@attribute A22 {e,h,g,a,j,b,i,c,f,d}
@attribute A23 {e,h,d,g,a,i,b,f,j,c}
@attribute A24 {i,g,c,h,d,j,a,f,b,e}
@attribute A25 {e,f,j,a,b,i,h,g,d,c}
@attribute A26 {g,b,c,a,d,j,i,h,f,e}
@attribute A27 {g,c,f,i,a,b,h,e,j,d}
@attribute A28 {i,c,e,j,b,d,f,h,g,a}
@attribute A29 {f,b,h,i,a,g,e,c,j,d}
@attribute A30 {a,g,d,b,i,j,h,f,e,c}
@attribute A31 {g,a,e,b,i,h,d,j,c,f}
@attribute A32 {c,d,i,h,f,j,g,e,b,a}
@attribute A33 {d,e,c,j,b,h,i,g,a,f}
@attribute A34 {d,b,e,h,i,a,c,j,f,g}
@attribute A35 {h,d,a,i,b,j,e,c,f,g}
@attribute A36 {e,i,b,h,a,d,g,f,j,c}
@attribute A37 {e,a,c,h,j,f,d,b,g,i}
@attribute A38 {j,b,a,d,h,g,e,c,f,i}
@attribute A39 {a,j,i,b,c,h,g,e,d,f}
@attribute A40 {e,c,g,d,i,h,a,f,b,j}
@attribute A41 {b,f,e,i,d,h,c,j,g,a}
@attribute A42 {a,h,i,f,d,e,j,c,b,g}
@attribute A43 {d,i,f,h,j,c,a,g,e,b}
@attribute A44 {c,h,f,i,d,g,j,a,e,b}
@attribute A45 {c,f,g,e,b,j,d,i,h,a}
@attribute A46 {a,f,d,i,g,e,c,j,b,h}
@attribute A47 {c,i,g,b,a,h,d,j,f,e}
@attribute A48 {c,g,d,i,j,h,b,a,e,f}
@attribute A49 {c,j,i,g,h,e,a,d,f,b}
@attribute A50 {f,j,h,a,e,d,c,b,g,i}
@attribute Class {c4,c1,c3,c2,c5}

@data
c,h,c,e,d,d,i,g,e,i,c,a,f,d,d,h,f,h,c,j,g,e,e,i,e,g,g,i,f,a,g,c,d,d,h,e,e,j,a,e,b,a,d,c,c,a,c,c,c,f,c4
a,c,h,c,j,d,e,e,h,j,b,g,f,d,b,d,b,f,e,h,g,h,h,g,f,b,c,c,b,g,g,d,d,b,d,e,a,j,j,c,b,a,d,h,f,f,i,c,c,j,c4
e,d,e,d,h,h,d,c,a,b,g,c,a,f,e,i,h,c,c,b,f,g,d,c,j,c,f,e,h,g,a,i,e,e,a,e,c,b,a,g,f,h,i,f,g,d,c,c,j,h,c1
e,d,a,e,i,d,j,h,g,f,h,f,f,d,h,h,c,i,b,d,g,a,d,h,e,a,i,e,i,g,e,i,c,h,i,e,h,j,i,c,b,a,d,i,e,d,g,c,c,f,c4
d,c,b,c,f,b,g,g,i,f,j,g,d,j,g,j,a,h,i,c,f,j,g,d,a,a,g,j,i,d,g,h,j,i,d,e,j,a,b,c,e,i,f,f,b,d,i,g,c,f,c3
i,d,h,g,g,h,f,d,b,i,d,f,b,d,h,a,h,e,b,f,a,g,e,j,f,d,f,j,a,b,g,f,b,d,h,i,f,d,c,d,i,i,h,d,j,i,b,d,i,a,c2
j,c,a,g,j,d,h,j,g,i,g,j,f,d,e,g,e,h,j,d,g,g,a,a,a,j,a,b,i,a,g,c,e,i,a,e,c,j,a,i,b,a,d,g,j,g,i,c,c,f,c4
i,h,g,g,b,b,e,g,a,i,c,f,b,b,e,g,g,g,d,j,e,g,i,f,f,i,f,d,i,i,b,f,b,b,a,b,h,h,c,d,b,f,f,g,j,e,a,c,i,h,c2
h,g,d,f,f,d,g,i,a,d,c,f,f,d,a,h,j,g,a,f,g,b,b,h,e,h,b,f,i,j,g,j,h,h,b,e,h,j,h,g,b,a,d,h,f,c,c,c,c,j,c4
d,j,b,c,f,h,i,f,i,a,h,g,g,j,d,j,h,i,d,b,f,b,a,i,b,h,b,b,g,d,b,h,e,i,j,h,d,a,b,c,d,d,j,j,g,i,h,g,g,e,c3
i,i,c,c,f,g,c,a,a,b,i,a,j,c,b,j,d,e,g,g,f,i,a,g,i,i,h,f,h,d,i,h,b,i,d,a,j,a,b,c,f,e,i,i,d,j,c,g,i,h,c3
b,g,c,b,h,c,c,c,a,c,g,a,a,g,e,i,b,j,b,b,c,e,d,c,a,j,e,e,g,j,h,d,i,b,e,e,c,h,g,h,h,h,c,d,i,j,g,i,h,e,c1
i,g,f,g,h,j,a,g,h,i,b,f,b,c,d,c,a,a,h,g,f,g,f,j,f,f,f,i,i,a,d,f,b,h,c,i,b,g,c,a,c,j,a,f,b,d,d,i,i,d,c2
d,g,c,h,h,d,g,d,j,h,j,f,f,d,h,c,a,c,j,g,g,j,d,f,i,d,a,j,e,j,d,j,g,b,h,e,d,j,g,d,b,a,d,a,g,d,j,c,c,c,c4
