@relation data50_5_5_10_5_300

@attribute A1 {d,c,e,b,a}
@attribute A2 {a,b,e,c,d}
@attribute A3 {c,a,d,e,b}
@attribute A4 {e,d,c,b,a}
@attribute A5 {b,e,a,d,c}
@attribute A6 {a,b,e,c,d}
@attribute A7 {c,b,e,a,d}
@attribute A8 {d,a,c,b,e}
@attribute A9 {c,d,b,a,e}
@attribute A10 {d,c,e,b,a}
@attribute A11 {b,c,d,a,e}
@attribute A12 {c,b,a,d,e}
@attribute A13 {e,d,b,a,c}
@attribute A14 {b,e,c,d,a}
@attribute A15 {e,d,c,b,a}
@attribute A16 {d,b,a,e,c}
@attribute A17 {c,b,a,d,e}
@attribute A18 {b,c,d,e,a}
@attribute A19 {c,d,e,a,b}
@attribute A20 {c,b,e,d,a}
@attribute A21 {a,b,d,e,c}
@attribute A22 {d,b,a,c,e}
@attribute A23 {a,d,b,c,e}
@attribute A24 {e,a,d,b,c}
@attribute A25 {d,a,c,e,b}
@attribute A26 {e,d,a,c,b}
@attribute A27 {b,d,c,e,a}
@attribute A28 {d,e,a,b,c}
@attribute A29 {b,c,d,a,e}
@attribute A30 {d,b,c,e,a}
@attribute A31 {a,b,c,d,e}
@attribute A32 {c,d,e,b,a}
@attribute A33 {c,a,b,d,e}
@attribute A34 {a,d,b,e,c}
@attribute A35 {c,b,a,d,e}
@attribute A36 {a,d,c,e,b}
@attribute A37 {e,d,a,b,c}
@attribute A38 {a,c,e,b,d}
@attribute A39 {e,a,c,d,b}
@attribute A40 {e,a,c,d,b}
@attribute A41 {a,e,b,d,c}
@attribute A42 {d,a,c,e,b}
@attribute A43 {d,e,a,c,b}
@attribute A44 {c,e,d,b,a}
@attribute A45 {e,d,c,b,a}
@attribute A46 {d,c,e,b,a}
@attribute A47 {a,e,c,b,d}
@attribute A48 {e,a,c,b,d}
@attribute A49 {d,e,a,b,c}
@attribute A50 {d,b,c,e,a}
@attribute Class {c3,c5,c4,c2,c1}

@data
d,a,c,e,b,a,c,d,c,d,b,c,e,b,e,d,c,b,c,c,a,d,a,e,d,e,b,d,b,d,a,c,c,a,c,a,e,a,e,e,a,d,d,c,e,d,a,e,d,d,c3
c,b,a,d,e,b,b,a,c,c,c,b,d,b,d,b,c,c,d,c,a,b,d,a,d,d,d,e,c,b,b,d,a,a,b,d,d,c,e,a,a,a,d,e,d,c,e,a,e,b,c5
c,e,d,c,b,a,c,d,d,e,b,c,d,e,e,d,c,c,e,b,a,d,b,e,d,a,c,a,b,b,c,d,b,a,a,c,e,c,a,c,e,c,e,c,d,d,c,c,a,d,c3
c,a,c,b,a,e,e,d,b,e,c,c,b,c,e,d,c,c,a,e,b,d,c,d,a,a,e,b,b,c,c,e,a,d,d,e,d,a,c,a,b,e,a,d,c,c,e,c,b,d,c4
d,c,e,d,b,e,c,c,a,e,d,a,e,b,e,a,b,d,d,e,a,a,a,e,c,a,a,d,d,e,d,b,b,b,b,b,a,e,c,a,b,a,c,b,b,e,b,b,b,c,c2
e,a,c,b,b,c,e,b,a,d,a,c,b,c,c,e,a,b,a,e,b,c,c,b,d,a,e,d,b,e,c,e,b,e,e,e,d,c,d,d,d,c,e,a,a,e,e,c,e,d,c4
d,a,c,e,d,d,c,a,e,c,b,d,a,c,b,b,b,e,a,e,d,c,c,c,d,c,b,c,b,c,d,e,b,c,c,e,d,a,b,d,e,c,e,d,e,c,e,c,d,d,c4
b,c,c,c,e,e,c,d,e,c,a,b,e,d,a,e,a,b,d,c,a,d,b,e,e,a,c,b,b,a,d,a,c,d,b,b,b,c,d,c,e,b,a,c,a,b,d,c,a,c,c1
a,d,e,c,e,e,a,c,c,b,c,b,e,c,d,e,c,e,d,c,e,d,b,d,e,a,d,b,b,a,b,d,c,b,c,b,a,b,d,e,e,e,b,a,d,a,a,c,d,b,c1
e,d,b,d,b,e,c,d,e,e,a,a,b,c,e,e,a,b,b,e,e,b,b,e,c,d,c,d,c,c,b,a,a,e,c,b,a,b,d,e,b,c,a,a,c,e,e,b,b,c,c2
a,d,d,b,b,b,e,d,d,b,b,d,a,b,e,d,c,e,e,c,a,d,a,c,d,a,b,a,b,b,a,e,c,a,b,e,e,a,b,a,b,a,a,d,d,d,d,e,c,c,c3
d,e,e,c,c,d,a,a,e,c,e,e,e,d,e,b,c,d,d,c,a,e,b,a,e,a,b,b,b,a,c,d,a,a,e,c,a,b,d,a,e,d,c,d,b,e,e,c,a,e,c1
