@relation data_100_20_5_10_10_500

@attribute A1 {q,e,h,g,d,b,a,m,l,s,p,j,i,r,f,o,c,t,n,k}
@attribute A2 {n,c,k,a,d,o,q,s,t,r,e,p,g,f,i,m,j,h,b,l}
@attribute A3 {o,b,c,a,m,q,e,p,s,h,i,n,k,j,t,r,l,d,f,g}
@attribute A4 {h,q,b,l,t,g,p,j,e,o,k,m,r,d,f,s,n,c,a,i}
@attribute A5 {r,j,d,a,p,h,c,e,l,m,q,g,t,n,b,i,f,o,s,k}
@attribute A6 {t,a,q,k,s,h,f,m,i,r,o,l,d,j,c,b,p,g,n,e}
@attribute A7 {j,c,h,l,r,k,d,f,a,i,s,n,e,b,t,q,g,p,o,m}
@attribute A8 {s,j,h,a,q,n,d,r,p,c,m,t,k,e,o,f,i,g,l,b}
@attribute A9 {m,r,k,b,i,f,h,n,d,o,q,p,l,a,s,c,e,t,j,g}
@attribute A10 {d,a,o,h,j,s,t,e,l,c,m,k,r,b,n,g,q,f,p,i}
@attribute A11 {p,o,i,j,f,d,s,l,n,t,r,m,a,g,q,k,b,c,e,h}
@attribute A12 {t,r,q,e,i,k,s,j,b,a,d,f,g,c,h,l,o,p,n,m}
@attribute A13 {b,h,g,s,e,l,c,j,t,o,d,i,f,n,a,k,p,q,r,m}
@attribute A14 {l,t,o,r,m,s,p,f,c,a,g,n,q,h,k,j,d,e,i,b}
@attribute A15 {t,k,a,g,q,n,f,o,h,c,m,b,j,l,e,r,d,p,i,s}
@attribute A16 {j,a,d,f,p,c,k,e,i,n,q,l,h,g,s,r,t,o,b,m}
@attribute A17 {d,i,f,s,t,n,o,l,e,b,q,g,j,a,p,m,h,c,r,k}
@attribute A18 {g,c,i,n,r,f,o,s,a,q,b,h,m,l,j,t,k,d,p,e}
@attribute A19 {f,o,p,n,c,l,q,j,i,k,r,d,s,m,g,e,t,a,h,b}
@attribute A20 {e,g,a,m,f,s,t,p,l,o,q,j,d,b,c,n,r,h,i,k}
@attribute A21 {k,e,l,b,f,n,d,a,q,j,s,r,t,o,h,c,p,i,m,g}
@attribute A22 {o,f,r,q,j,d,t,p,i,l,m,n,g,s,a,c,k,h,e,b}
@attribute A23 {n,l,c,o,h,g,q,b,t,a,i,k,f,s,j,m,r,d,p,e}
@attribute A24 {t,f,m,g,a,h,s,i,e,n,k,c,b,j,r,l,o,q,d,p}
@attribute A25 {q,a,c,j,r,g,e,p,f,s,m,n,d,i,b,t,o,k,l,h}
@attribute A26 {c,f,g,q,d,j,m,i,n,s,l,b,o,k,h,a,r,t,p,e}
@attribute A27 {b,n,s,f,p,d,o,h,i,r,g,c,q,l,k,m,a,t,j,e}
@attribute A28 {o,t,r,l,k,q,i,n,c,h,f,g,s,j,d,p,b,m,a,e}
@attribute A29 {l,f,k,n,i,c,m,j,b,s,g,p,q,a,d,e,h,r,o,t}
@attribute A30 {s,k,c,g,q,e,h,f,p,d,t,a,r,o,b,i,l,n,j,m}
@attribute A31 {k,g,j,p,i,a,o,d,n,e,c,h,l,q,b,s,m,t,r,f}
@attribute A32 {d,l,m,j,a,c,k,g,r,s,p,b,q,o,t,i,n,h,f,e}
@attribute A33 {q,a,f,j,c,e,k,i,n,o,g,r,b,d,h,s,t,p,l,m}
@attribute A34 {t,a,p,b,l,s,n,f,r,k,e,j,o,m,q,g,d,c,i,h}
@attribute A35 {k,b,l,d,i,a,m,g,r,n,o,j,c,p,t,q,f,e,s,h}
@attribute A36 {o,m,h,d,c,f,t,i,e,r,n,q,b,j,l,p,s,a,k,g}
@attribute A37 {l,f,k,d,s,c,p,r,a,o,h,n,b,q,m,t,j,g,e,i}
@attribute A38 {l,p,n,j,b,g,a,t,h,r,c,f,d,o,i,k,q,m,s,e}
@attribute A39 {m,g,e,f,i,a,s,o,j,c,d,q,k,t,l,r,p,b,n,h}
@attribute A40 {o,f,r,b,d,q,h,e,l,j,a,n,t,k,m,p,c,s,i,g}
@attribute A41 {r,m,f,j,l,b,s,e,g,o,c,k,t,n,a,h,d,i,p,q}
@attribute A42 {j,b,m,h,d,g,k,r,n,q,l,f,t,e,s,a,p,c,o,i}
@attribute A43 {k,b,p,j,m,s,n,d,o,c,q,r,i,a,f,t,g,h,l,e}
@attribute A44 {t,n,q,f,k,b,g,r,c,i,d,s,l,m,a,h,o,e,j,p}
@attribute A45 {g,t,b,i,q,o,m,j,k,s,e,r,p,l,a,h,n,f,d,c}
@attribute A46 {c,t,h,f,k,q,b,d,l,s,i,p,n,g,r,m,e,o,j,a}
@attribute A47 {d,t,l,j,h,f,s,m,g,o,q,c,b,r,a,e,k,n,i,p}
@attribute A48 {r,s,i,q,c,a,b,f,j,g,t,l,o,n,m,k,e,d,p,h}
@attribute A49 {j,g,o,r,m,d,b,p,k,f,n,e,i,q,l,t,c,s,a,h}
@attribute A50 {h,l,g,t,p,m,f,a,i,r,b,s,d,k,q,c,o,e,j,n}
@attribute A51 {b,i,p,c,j,g,f,d,n,k,m,s,t,q,l,h,o,a,r,e}
@attribute A52 {k,j,q,n,l,a,p,e,m,s,t,g,c,o,f,b,d,r,i,h}
@attribute A53 {t,r,o,d,e,g,n,c,b,s,k,j,f,a,l,i,m,q,p,h}
@attribute A54 {b,t,k,f,q,g,m,r,c,d,a,j,l,p,o,h,e,n,i,s}
@attribute A55 {f,h,k,o,m,t,l,j,i,e,q,c,g,p,n,a,s,d,r,b}
@attribute A56 {r,n,g,c,l,j,h,e,b,s,p,t,f,a,d,k,m,o,i,q}
@attribute A57 {t,a,n,j,g,i,q,k,r,p,l,s,m,h,b,c,e,f,o,d}
@attribute A58 {t,r,f,m,h,c,o,s,g,k,n,d,b,i,q,l,p,j,e,a}
@attribute A59 {k,l,p,g,b,r,n,j,c,m,s,o,f,h,e,i,t,a,q,d}
@attribute A60 {c,r,h,j,m,g,s,k,o,f,i,d,a,p,e,t,l,n,b,q}
@attribute A61 {f,n,j,r,k,p,a,q,i,m,b,t,e,h,c,l,o,s,g,d}
@attribute A62 {b,e,l,j,d,k,f,r,n,c,i,a,s,g,q,m,h,o,t,p}
@attribute A63 {b,r,p,j,a,l,m,o,f,q,i,n,c,g,e,d,h,s,k,t}
@attribute A64 {k,l,n,m,s,i,h,b,c,t,j,d,r,q,p,o,g,f,a,e}
@attribute A65 {q,m,j,k,t,o,l,h,c,a,s,b,p,i,r,d,e,g,f,n}
@attribute A66 {t,j,k,g,i,c,s,o,h,e,d,b,f,a,r,n,p,l,q,m}
@attribute A67 {i,f,n,q,l,b,e,o,s,r,m,g,d,j,h,c,k,a,t,p}
@attribute A68 {a,m,r,h,j,p,k,q,e,d,c,i,n,b,l,s,o,g,f,t}
@attribute A69 {c,a,t,l,b,s,e,f,m,k,n,q,r,j,p,i,d,g,h,o}
@attribute A70 {b,p,d,q,a,m,k,c,f,r,n,g,l,s,i,e,o,j,h,t}
@attribute A71 {p,h,s,n,m,k,q,f,e,l,d,o,j,t,g,i,c,b,r,a}
@attribute A72 {p,q,t,n,k,f,l,s,a,j,d,m,c,e,r,g,b,h,o,i}
@attribute A73 {t,j,g,s,h,k,n,f,q,a,o,l,e,d,b,c,i,r,m,p}
@attribute A74 {j,g,n,d,a,t,h,q,b,o,r,c,m,p,k,f,e,l,s,i}
@attribute A75 {h,e,o,p,k,f,a,c,s,d,t,n,i,m,b,g,r,l,j,q}
@attribute A76 {p,f,g,h,a,o,n,c,e,s,m,r,k,i,b,t,l,q,j,d}
@attribute A77 {p,f,b,s,d,h,g,a,i,n,k,t,l,q,e,o,m,j,c,r}
@attribute A78 {n,p,q,d,s,b,l,j,c,t,e,r,i,h,o,m,k,f,a,g}
@attribute A79 {q,r,j,s,o,n,a,t,m,b,l,h,k,d,e,c,p,f,g,i}
@attribute A80 {k,h,l,p,s,r,n,b,t,i,f,d,m,o,e,a,g,q,j,c}
@attribute A81 {a,t,s,p,b,r,g,j,e,q,f,c,d,n,h,m,l,i,o,k}
@attribute A82 {k,d,m,e,o,l,t,c,g,a,s,n,p,q,j,i,h,r,f,b}
@attribute A83 {t,i,e,m,o,s,d,l,h,n,g,q,k,f,a,b,c,r,p,j}
@attribute A84 {a,j,d,f,n,t,q,m,r,p,o,h,l,k,g,c,b,s,e,i}
@attribute A85 {l,q,n,c,t,r,a,e,m,j,g,o,p,h,s,f,k,b,d,i}
@attribute A86 {a,c,k,d,t,o,f,q,l,m,b,n,h,e,j,p,i,r,s,g}
@attribute A87 {a,b,e,i,s,h,o,j,m,d,c,f,g,n,p,r,l,k,t,q}
@attribute A88 {b,o,s,f,j,c,e,r,m,p,l,k,h,n,t,a,g,i,q,d}
@attribute A89 {n,e,o,b,l,m,f,j,g,d,i,s,p,c,q,k,t,h,r,a}
@attribute A90 {l,j,n,s,p,a,c,g,h,m,e,r,t,b,f,o,k,i,d,q}
@attribute A91 {j,a,e,k,d,q,n,b,o,p,t,f,i,h,l,r,s,m,c,g}
@attribute A92 {i,e,f,c,r,s,d,a,m,t,k,l,g,p,h,o,j,b,n,q}
@attribute A93 {r,a,j,i,n,k,l,m,c,g,t,p,e,o,q,d,b,h,s,f}
@attribute A94 {h,m,e,s,t,b,q,o,j,c,p,n,f,d,g,r,i,a,l,k}
@attribute A95 {l,p,r,k,s,m,f,o,t,c,g,n,e,j,i,a,d,q,b,h}
@attribute A96 {m,q,r,n,b,l,g,t,h,a,s,e,i,c,d,p,j,k,o,f}
@attribute A97 {q,d,s,h,j,c,k,g,m,r,f,n,e,l,b,p,a,t,o,i}
@attribute A98 {q,h,i,l,n,p,o,a,t,f,g,e,r,d,c,k,m,b,s,j}
@attribute A99 {o,h,t,p,a,g,b,m,l,i,j,e,q,r,f,n,c,d,k,s}
@attribute A100 {e,m,c,o,f,g,i,s,t,r,k,h,l,b,p,j,d,n,a,q}
@attribute Class {c4,c3,c2,c1,c5}

@data
q,n,o,h,r,t,j,s,m,d,p,t,b,l,t,j,d,g,f,e,k,o,n,t,q,c,b,o,l,s,k,d,q,t,k,o,l,l,m,o,r,j,k,t,g,c,d,r,j,h,b,k,t,b,f,r,t,t,k,c,f,b,b,k,q,t,i,a,c,b,p,p,t,j,h,p,p,n,q,k,a,k,t,a,l,a,a,b,n,l,j,i,r,h,l,m,q,q,o,e,c4
e,c,b,q,j,a,c,j,r,a,o,r,h,t,k,a,i,c,o,g,e,f,l,f,a,f,n,t,f,k,g,l,a,a,b,m,f,p,g,f,m,b,b,n,t,t,t,s,g,l,i,j,r,t,h,n,a,r,l,r,n,e,r,l,m,j,f,m,a,p,h,q,j,g,e,f,f,p,r,h,t,d,t,j,q,c,b,o,e,j,j,i,a,m,l,q,d,h,h,m,c3
h,k,c,b,d,q,j,h,k,o,i,q,g,o,k,d,f,i,p,a,l,r,c,m,c,g,s,r,f,c,j,m,f,p,l,h,k,n,e,r,f,m,p,q,b,h,l,i,o,g,p,q,o,k,k,r,n,f,p,h,j,l,b,n,j,k,i,m,t,d,s,t,g,n,o,g,b,q,j,l,s,d,i,d,q,k,e,s,o,n,a,e,j,e,p,r,s,i,t,c,c2
g,a,a,l,a,k,h,a,b,h,j,e,s,r,a,f,s,n,n,m,b,q,o,g,j,q,f,o,k,g,p,j,j,a,d,h,d,j,f,b,j,h,j,f,t,f,d,r,r,t,i,n,d,f,o,r,j,m,g,j,r,j,p,l,k,g,n,r,t,q,n,n,s,d,p,h,s,d,s,p,p,m,e,f,n,d,b,s,b,s,e,f,i,s,r,n,h,l,p,c,c1
d,d,m,t,d,s,l,q,b,a,f,i,e,m,t,p,t,r,o,f,f,r,h,a,r,d,p,l,l,g,i,a,c,p,k,d,s,j,i,d,l,d,k,f,i,t,j,q,m,p,c,j,e,b,m,r,t,r,b,c,f,d,j,m,t,t,q,a,t,a,n,k,t,a,k,a,d,n,o,k,b,e,m,n,n,t,a,f,l,l,j,i,n,t,k,b,j,n,t,m,c4
d,o,q,g,d,q,r,n,i,j,d,k,h,s,t,c,t,f,c,s,n,j,l,h,g,j,d,k,l,q,a,c,q,b,d,m,s,l,a,q,b,g,k,k,t,c,h,c,d,m,j,l,g,q,t,r,t,h,r,c,f,k,a,s,k,i,l,a,l,m,m,f,h,t,p,o,h,n,n,k,r,o,o,t,c,o,a,s,m,p,j,c,n,b,s,l,c,h,a,e,c4
b,q,c,p,p,h,r,h,f,s,i,s,l,p,t,d,n,o,o,e,n,d,g,s,e,d,o,q,n,e,g,k,e,l,i,c,f,b,s,h,m,k,k,f,q,c,f,a,b,f,g,a,n,g,l,r,t,c,b,c,f,j,l,i,q,i,b,a,b,k,k,l,k,h,f,p,s,n,q,k,a,m,s,q,t,f,a,j,b,l,j,r,k,b,m,g,d,p,g,o,c4
e,n,e,j,h,f,c,a,h,a,o,j,c,m,g,k,i,s,l,a,e,t,q,i,p,m,o,i,i,h,p,g,k,s,a,m,f,p,o,r,s,r,m,b,o,k,s,b,p,a,i,p,t,m,j,n,g,f,n,m,k,f,m,h,o,g,n,m,s,p,q,l,h,q,a,n,g,s,a,s,g,o,t,m,r,c,i,c,l,a,k,c,r,m,f,q,k,o,t,f,c3
a,s,p,p,c,m,c,d,m,a,s,b,j,f,k,e,i,n,q,t,d,p,b,m,r,c,h,q,c,f,o,r,e,n,m,m,f,p,j,e,e,n,s,g,m,q,m,c,k,i,i,e,o,r,i,n,i,o,j,g,f,r,o,b,l,c,e,h,e,p,f,q,n,h,c,c,a,b,t,r,j,l,d,r,a,c,s,f,o,n,d,s,l,m,k,t,g,a,h,g,c3
m,t,c,e,e,q,j,r,n,h,s,e,t,o,q,d,o,a,p,p,l,i,t,e,r,g,i,n,m,c,i,m,a,s,l,f,c,g,c,b,g,q,n,r,g,b,j,f,f,r,p,m,t,c,l,g,n,o,k,h,p,b,f,c,h,s,l,j,f,d,e,s,h,b,s,e,i,l,m,n,a,t,s,d,e,q,h,s,f,c,a,d,m,q,o,h,g,t,a,c,c2
d,s,s,o,l,i,k,p,d,t,i,a,o,c,a,a,l,q,j,l,a,i,g,i,f,j,r,c,j,p,d,a,i,a,a,d,p,a,d,b,o,q,j,c,j,d,t,j,r,b,f,s,c,f,l,c,q,s,c,s,k,n,a,k,h,o,o,p,m,c,l,a,f,o,c,s,i,j,r,l,e,c,e,m,t,l,b,e,j,g,d,a,c,o,t,a,m,p,b,i,c5
d,r,h,k,m,r,d,s,d,t,l,b,d,r,n,i,e,q,c,o,a,q,g,n,f,j,g,h,b,d,j,s,e,l,g,t,c,t,g,l,b,h,d,i,k,l,g,f,n,p,j,t,b,d,l,l,t,g,m,k,a,c,q,t,q,s,s,m,f,f,s,j,q,r,e,s,n,c,r,r,p,g,l,j,e,m,o,b,g,h,d,m,g,j,c,n,m,f,b,c,c5
e,t,h,m,h,o,c,p,o,e,n,d,s,a,t,n,b,n,i,p,q,i,h,k,j,q,h,f,s,q,n,p,a,t,r,o,r,h,q,j,o,b,k,d,s,s,m,g,r,i,d,g,t,a,e,r,t,k,g,c,f,c,i,j,c,c,q,a,l,r,h,d,a,c,c,e,f,n,b,k,q,l,i,p,n,o,a,r,d,c,j,a,t,c,t,h,r,g,m,s,c4
g,e,p,b,q,l,c,c,q,a,f,s,i,g,f,e,i,b,p,q,b,l,c,c,s,j,f,g,g,t,p,a,n,s,g,m,f,p,k,e,c,l,o,c,e,i,t,c,n,i,i,q,s,j,h,n,i,s,b,o,j,k,n,b,k,h,r,k,k,p,d,s,k,n,d,m,a,c,l,r,e,l,e,m,r,c,j,m,m,m,j,t,p,m,k,t,f,l,l,t,c3
d,p,i,b,g,d,r,m,d,t,t,d,f,a,o,a,b,q,k,g,j,m,g,h,m,j,o,i,p,a,e,j,o,f,n,o,a,r,t,a,l,n,c,s,s,i,o,t,j,m,p,e,k,l,l,j,g,n,b,f,q,i,o,d,a,e,i,q,m,c,o,f,f,o,s,s,k,b,j,b,b,k,t,d,m,l,m,p,m,g,d,a,c,o,g,s,m,e,b,r,c5
d,g,n,m,r,j,f,t,d,t,f,f,n,s,n,q,q,q,r,j,k,t,g,b,n,j,r,s,f,e,j,b,g,r,o,i,a,c,l,b,k,f,q,r,r,p,q,i,e,s,n,e,o,m,l,j,k,d,p,i,i,a,c,k,s,c,f,e,m,a,j,m,o,a,p,s,b,t,h,h,r,a,h,o,j,b,d,l,i,j,d,r,g,p,r,g,m,r,b,m,c5
l,f,m,q,t,r,a,c,b,l,o,g,a,t,o,l,s,n,f,d,s,f,a,j,a,i,c,o,k,p,c,j,r,a,j,m,f,b,f,e,t,m,m,d,b,n,c,g,i,t,k,s,k,p,q,h,t,t,s,j,m,l,g,d,b,i,m,r,t,f,t,c,q,j,k,f,t,s,k,l,q,s,n,f,g,q,d,o,s,e,q,a,c,e,t,n,n,f,b,k,c1
d,c,k,g,h,c,i,k,d,t,r,b,k,n,h,k,q,q,d,f,r,m,g,i,d,j,q,n,l,q,p,p,a,k,b,e,a,f,r,n,n,l,p,b,p,f,b,i,m,h,m,e,j,o,l,e,a,k,s,d,b,s,p,h,l,g,l,p,e,n,g,e,l,d,c,s,l,t,d,t,b,n,d,h,c,k,e,k,p,h,d,k,i,o,g,b,m,g,b,h,c5
s,p,j,r,n,q,l,e,p,a,o,s,j,f,c,h,s,n,s,m,f,n,l,i,d,c,b,o,k,s,h,j,b,e,c,r,a,j,f,l,l,n,q,f,r,l,m,t,q,t,m,p,f,r,f,b,g,d,p,j,p,s,e,i,p,d,g,r,t,g,j,m,e,h,d,r,d,e,o,i,e,p,g,f,o,n,s,m,l,r,n,l,k,c,n,e,e,a,t,l,c1
d,n,q,d,l,l,l,s,d,t,m,f,p,g,m,g,g,q,r,b,t,g,g,n,e,j,o,j,m,c,o,g,a,k,p,n,f,d,f,t,l,h,n,k,i,n,d,r,j,d,j,c,b,k,l,c,r,m,n,j,k,g,d,k,i,k,d,d,t,l,i,t,d,c,a,s,q,c,b,f,p,q,n,t,p,n,c,h,s,p,d,r,e,c,e,n,m,n,b,c,c5
s,i,b,h,r,s,c,r,o,a,t,b,i,r,b,s,i,i,p,f,d,s,i,g,i,j,f,d,q,r,d,q,f,s,t,m,f,p,p,l,a,t,r,t,g,f,j,q,p,k,i,o,g,h,k,n,p,b,l,a,q,q,i,t,m,b,r,a,n,p,s,r,t,t,t,o,q,r,s,d,f,o,q,l,e,c,f,o,c,j,n,r,m,m,r,a,n,h,h,c,c3
d,t,o,r,b,b,i,c,d,t,d,r,e,a,f,r,o,q,c,b,r,s,g,r,r,j,q,q,l,o,k,b,d,n,o,i,o,o,e,h,b,d,i,l,l,g,s,l,l,r,s,f,c,j,l,l,t,f,o,p,j,b,l,k,r,i,g,c,a,f,k,s,t,m,o,s,a,j,e,p,c,d,i,k,n,t,f,c,n,t,d,g,o,n,e,h,m,d,b,i,c5
b,f,a,e,j,a,s,p,p,c,r,c,p,p,t,l,j,h,m,s,d,m,k,t,p,c,c,o,a,k,p,o,h,a,d,t,h,i,r,k,h,e,k,n,k,h,q,i,o,p,k,b,a,q,c,r,t,g,c,c,f,k,a,r,t,f,e,a,q,k,e,g,o,p,n,f,h,n,c,k,r,j,s,q,o,q,a,b,n,l,j,l,p,f,j,g,q,i,i,f,c4
p,m,j,q,l,l,n,p,m,m,p,h,q,f,t,s,a,c,g,o,k,s,n,b,j,j,l,s,j,q,l,o,r,f,q,d,n,g,b,m,s,s,k,q,q,q,l,o,g,q,p,d,k,d,e,r,t,g,s,c,f,m,m,q,k,h,n,a,e,s,c,a,s,k,f,k,e,n,p,k,d,o,k,r,h,h,a,e,i,b,j,p,k,d,l,t,c,t,o,g,c4
